time,open,high,low,close,volume
2026-03-02 08:00:00,142.6,142.7,142.4,142.55,100.0
2026-03-02 08:05:00,142.55,142.65,142.45,142.6,100.0
2026-03-02 08:10:00,142.6,142.7,142.44,142.5,100.0
2026-03-02 08:15:00,142.5,142.75,142.43,142.7,100.0
2026-03-02 08:20:00,142.7,142.74,142.42,142.45,100.0
2026-03-02 08:25:00,142.45,142.5,142.43,142.48,100.0
2026-03-02 08:30:00,142.48,142.72,142.46,142.7,100.0
2026-03-02 08:35:00,142.7,142.74,142.46,142.5,100.0
2026-03-02 08:40:00,142.5,142.55,142.35,142.55,100.0
2026-03-02 08:45:00,142.6,142.9,142.58,142.85,100.0
2026-03-02 08:50:00,142.85,143.05,142.82,143.0,100.0
2026-03-02 08:55:00,143.0,143.1,142.98,143.05,100.0
2026-03-02 09:00:00,143.05,143.35,143.25,143.3,100.0
2026-03-02 09:05:00,143.3,143.45,143.28,143.4,100.0
2026-03-02 09:10:00,143.4,143.42,143.25,143.3,100.0
2026-03-02 09:15:00,143.3,143.35,143.2,143.25,100.0
2026-03-02 09:20:00,143.25,143.42,143.22,143.38,100.0
2026-03-02 09:25:00,143.38,143.4,143.25,143.3,100.0
2026-03-02 09:30:00,143.3,143.35,143.22,143.26,100.0
2026-03-02 09:35:00,143.26,143.28,143.1,143.14,100.0
